AlegacionID,EstudianteID,FechaAlegacion,MotivoAlegacion,ResultadoAlegacion,FechaResolucion,AccionTrasResolucion
179,179,2023-03-04,El estudiante no ha podido completar su estancia Erasmus debido a circunstancias imprevistas (como la pandemia de COVID-19).,Rechazada,2023-03-20,No cambio
108,108,2023-03-05,Problemas familiares graves que requieren la presencia del estudiante en España.,Rechazada,2023-03-17,No cambio
28,28,2023-03-17,Problemas con el seguro médico provisto por el programa Erasmus.,Aceptada,2023-04-04,Reasignación
424,424,2023-03-02,Incongruencias en el proceso de selección de candidatos para el programa Erasmus.,Aceptada,2023-03-16,Confirmación destino inicial
228,228,2023-02-06,La Universidad de destino no ofrece una asignatura equivalente a la que el estudiante está cursando en la Universidad de Sevilla.,Rechazada,2023-02-14,No cambio
31,31,2023-03-08,El estudiante no ha recibido el apoyo necesario por parte de la Universidad de Sevilla o de la universidad de destino durante su estancia Erasmus.,Rechazada,2023-03-17,No cambio
350,350,2023-02-23,Problemas de salud repentina que impiden al estudiante viajar o permanecer en el país de destino.,Rechazada,2023-03-09,No cambio
36,36,2023-02-26,La Universidad de destino no ofrece una asignatura equivalente a la que el estudiante está cursando en la Universidad de Sevilla.,Aceptada,2023-03-14,Confirmación destino inicial
219,219,2023-02-11,Problemas de alojamiento en el país de destino.,Rechazada,2023-02-22,No cambio
403,403,2023-03-02,El estudiante no recibió a tiempo la notificación de aceptación de su solicitud.,Aceptada,2023-03-19,Confirmación destino inicial
165,165,2023-03-05,Problemas con el reconocimiento de las prácticas realizadas en el país de destino.,Aceptada,2023-03-24,Confirmación destino inicial
409,409,2023-03-10,La universidad de destino ha cancelado o modificado el curso de estudio después de la llegada del estudiante.,Aceptada,2023-03-21,Reasignación
84,84,2023-02-08,El estudiante no recibió a tiempo la notificación de aceptación de su solicitud.,Aceptada,2023-02-20,Confirmación destino inicial
156,156,2023-03-07,Problemas con la renovación del acuerdo Erasmus entre la Universidad de Sevilla y la universidad de destino.,Rechazada,2023-03-26,No cambio
296,296,2023-03-07,Retraso en la emisión del permiso de residencia o visa del país de destino.,Rechazada,2023-03-26,No cambio
183,183,2023-02-26,El estudiante no ha recibido el apoyo necesario por parte de la Universidad de Sevilla o de la universidad de destino durante su estancia Erasmus.,Rechazada,2023-03-13,No cambio
336,336,2023-03-13,Problemas con el reconocimiento de las prácticas realizadas en el país de destino.,Rechazada,2023-03-27,No cambio
194,194,2023-03-09,Problemas con la convalidación de créditos al volver a la Universidad de Sevilla.,Rechazada,2023-03-19,No cambio
272,272,2023-02-04,El estudiante no ha podido completar su estancia Erasmus debido a circunstancias imprevistas (como la pandemia de COVID-19).,Rechazada,2023-02-24,No cambio
202,202,2023-02-22,Problemas con el reconocimiento de las prácticas realizadas en el país de destino.,Aceptada,2023-03-14,Confirmación destino inicial
333,333,2023-02-18,El estudiante no ha recibido el apoyo necesario por parte de la Universidad de Sevilla o de la universidad de destino durante su estancia Erasmus.,Aceptada,2023-03-08,Reasignación
71,71,2023-03-03,Problemas familiares graves que requieren la presencia del estudiante en España.,Rechazada,2023-03-14,No cambio
383,383,2023-02-26,Problemas de salud repentina que impiden al estudiante viajar o permanecer en el país de destino.,Aceptada,2023-03-12,Reasignación
236,236,2023-01-31,La Universidad de destino no ofrece una asignatura equivalente a la que el estudiante está cursando en la Universidad de Sevilla.,Aceptada,2023-02-07,Confirmación destino inicial
26,26,2023-03-20,Problemas familiares graves que requieren la presencia del estudiante en España.,Aceptada,2023-04-01,Reasignación
187,187,2023-02-23,Problemas familiares graves que requieren la presencia del estudiante en España.,Rechazada,2023-03-02,No cambio
122,122,2023-02-19,Falta de información adecuada sobre el proceso de solicitud de Erasmus.,Aceptada,2023-03-10,Reasignación
377,377,2023-03-17,Problemas con el seguro médico provisto por el programa Erasmus.,Rechazada,2023-03-24,No cambio
255,255,2023-03-08,Incongruencias en el proceso de selección de candidatos para el programa Erasmus.,Aceptada,2023-03-18,Reasignación
387,387,2023-03-20,Problemas familiares graves que requieren la presencia del estudiante en España.,Rechazada,2023-03-29,No cambio
174,174,2023-03-06,Problemas en la asignación de becas o ayudas financieras del programa Erasmus.,Aceptada,2023-03-24,Confirmación destino inicial
96,96,2023-02-23,Incongruencias en el proceso de selección de candidatos para el programa Erasmus.,Rechazada,2023-03-03,No cambio
263,263,2023-02-24,Problemas con la puntuación del idioma requerida por la universidad de destino.,Aceptada,2023-03-15,Confirmación destino inicial
109,109,2023-02-20,Incongruencias en el proceso de selección de candidatos para el programa Erasmus.,Rechazada,2023-03-07,No cambio
111,111,2023-03-18,Incongruencias en el proceso de selección de candidatos para el programa Erasmus.,Aceptada,2023-04-03,Reasignación
147,147,2023-02-28,Problemas familiares graves que requieren la presencia del estudiante en España.,Rechazada,2023-03-17,No cambio
17,17,2023-02-16,Problemas con el seguro médico provisto por el programa Erasmus.,Rechazada,2023-03-05,No cambio
132,132,2023-02-18,La universidad de destino ha cancelado o modificado el curso de estudio después de la llegada del estudiante.,Rechazada,2023-02-28,No cambio
