EventID,EstudianteID,ActividadID,Timestamp,DestinoID,Detalle,Actor
1,1,1,2023-01-25 00:00:00,48,,Estudiante
2,1,2,2023-01-30 00:00:00,48,,Estudiante
3,1,3,2023-02-05 00:00:00,48,,Administración
4,1,4,2023-02-19 00:00:00,48,,Administración
5,1,5,2023-03-05 00:00:00,48,Adjudicación a destino Erasmus,Administración
6,1,6,2023-03-18 00:00:00,48,Adjudicación a destino Erasmus,Administración
7,1,7,2023-03-29 00:00:00,48,,Estudiante
8,1,8,2023-04-18 00:00:00,48,,Estudiante
9,1,15,2023-05-11 00:00:00,48,,Estudiante
10,1,16,2023-05-31 00:00:00,48,,Administración
11,1,17,2023-06-29 00:00:00,48,,Estudiante
12,1,18,2023-07-19 00:00:00,48,,Administración
13,2,1,2023-01-18 00:00:00,199,,Estudiante
14,2,2,2023-01-21 00:00:00,199,,Estudiante
15,2,3,2023-01-25 00:00:00,199,,Administración
16,2,13,2023-02-11 00:00:00,199,Alegación sobre adjudicación,Estudiante
17,2,14,2023-02-25 00:00:00,199,Alegación sobre adjudicación,Administración
18,2,4,2023-03-11 00:00:00,199,,Administración
19,2,5,2023-03-22 00:00:00,199,Adjudicación a destino Erasmus,Administración
20,2,6,2023-04-03 00:00:00,199,Adjudicación a destino Erasmus,Administración
21,2,7,2023-04-20 00:00:00,199,,Estudiante
22,2,8,2023-05-01 00:00:00,199,,Estudiante
23,2,15,2023-05-28 00:00:00,199,,Estudiante
24,2,16,2023-06-21 00:00:00,199,,Administración
25,2,17,2023-07-13 00:00:00,199,,Estudiante
26,2,18,2023-08-11 00:00:00,199,,Administración
27,3,1,2023-01-23 00:00:00,130,,Estudiante
28,3,2,2023-01-28 00:00:00,130,,Estudiante
29,3,3,2023-02-04 00:00:00,130,,Administración
30,3,4,2023-02-18 00:00:00,130,,Administración
31,3,5,2023-03-02 00:00:00,130,Adjudicación a destino Erasmus,Administración
32,3,6,2023-03-22 00:00:00,130,Adjudicación a destino Erasmus,Administración
33,3,7,2023-04-06 00:00:00,130,,Estudiante
34,3,9,2023-04-26 00:00:00,130,Renuncia voluntaria,Estudiante
35,3,11,2023-05-14 00:00:00,130,,Administración
36,3,12,2023-06-03 00:00:00,130,Adjudicación a destino Erasmus,Administración
37,3,7,2023-06-15 00:00:00,130,,Estudiante
38,3,8,2023-07-01 00:00:00,130,,Estudiante
