DestinoID,NombreDestino,Ronda,PlazasTotales,PlazasDisponibles,NumTitulares,NumSuplentes,NumRenuncias,TotalCandidatos,TasaOcupacion,TasaRenuncia,Competitividad
1,Università degli Studi di Roma La Sapienza,1ª Adjudicación,0,0,0,7,0,7,0.0,0.0,Alta
1,Università degli Studi di Roma La Sapienza,2ª Adjudicación,0,0,0,7,0,7,0.0,0.0,Alta
1,Università degli Studi di Roma La Sapienza,3ª Adjudicación,0,0,0,7,0,7,0.0,0.0,Alta
1,Università degli Studi di Roma La Sapienza,Adjudicación Final,0,0,0,5,0,5,0.0,0.0,Alta
2,Université Paris-Sorbonne,1ª Adjudicación,1,1,1,5,0,6,100.0,0.0,Alta
2,Université Paris-Sorbonne,2ª Adjudicación,1,1,1,4,0,5,100.0,0.0,Alta
2,Université Paris-Sorbonne,3ª Adjudicación,1,1,1,3,0,4,100.0,0.0,Alta
2,Université Paris-Sorbonne,Adjudicación Final,1,1,1,4,0,5,100.0,0.0,Alta
3,Uniwersytet Warszawski,1ª Adjudicación,3,3,3,6,0,9,100.0,0.0,Alta
3,Uniwersytet Warszawski,2ª Adjudicación,3,3,3,3,0,6,100.0,0.0,Media
3,Uniwersytet Warszawski,3ª Adjudicación,3,3,3,0,0,3,100.0,0.0,Baja
3,Uniwersytet Warszawski,Adjudicación Final,3,3,3,6,0,9,100.0,0.0,Alta
4,Freie Universität Berlin,1ª Adjudicación,4,4,4,0,0,4,100.0,0.0,Baja
4,Freie Universität Berlin,2ª Adjudicación,4,4,0,0,0,0,0.0,0.0,Baja
4,Freie Universität Berlin,3ª Adjudicación,4,4,0,0,0,0,0.0,0.0,Baja
4,Freie Universität Berlin,Adjudicación Final,4,4,4,0,0,4,100.0,0.0,Baja
5,Università degli Studi di Milano,1ª Adjudicación,4,4,2,0,0,2,50.0,0.0,Baja
5,Università degli Studi di Milano,2ª Adjudicación,4,4,0,0,0,0,0.0,0.0,Baja
5,Università degli Studi di Milano,3ª Adjudicación,4,4,0,0,0,0,0.0,0.0,Baja
5,Università degli Studi di Milano,Adjudicación Final,4,4,2,0,0,2,50.0,0.0,Baja
6,Université de Strasbourg,1ª Adjudicación,4,4,4,0,1,4,100.0,25.0,Baja
6,Université de Strasbourg,2ª Adjudicación,4,5,1,0,0,1,25.0,0.0,Baja
6,Université de Strasbourg,3ª Adjudicación,4,4,1,0,1,1,25.0,100.0,Baja
6,Université de Strasbourg,Adjudicación Final,4,5,3,0,0,3,75.0,0.0,Baja
7,Uniwersytet Jagielloński,1ª Adjudicación,3,3,3,4,0,7,100.0,0.0,Alta
7,Uniwersytet Jagielloński,2ª Adjudicación,3,3,3,1,0,4,100.0,0.0,Media
7,Uniwersytet Jagielloński,3ª Adjudicación,3,3,1,0,0,1,33.33,0.0,Baja
7,Uniwersytet Jagielloński,Adjudicación Final,3,3,3,3,0,6,100.0,0.0,Media
8,Technische Universität München,1ª Adjudicación,2,2,2,3,0,5,100.0,0.0,Alta
8,Technische Universität München,2ª Adjudicación,2,2,2,1,0,3,100.0,0.0,Media
8,Technische Universität München,3ª Adjudicación,2,2,1,0,0,1,50.0,0.0,Baja
8,Technische Universität München,Adjudicación Final,2,2,2,3,0,5,100.0,0.0,Alta
9,Università degli Studi di Napoli Federico II,1ª Adjudicación,2,2,2,0,0,2,100.0,0.0,Baja
9,Università degli Studi di Napoli Federico II,2ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
9,Università degli Studi di Napoli Federico II,3ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
9,Università degli Studi di Napoli Federico II,Adjudicación Final,2,2,2,0,0,2,100.0,0.0,Baja
10,Université Paris Diderot,1ª Adjudicación,2,2,2,0,0,2,100.0,0.0,Baja
10,Université Paris Diderot,2ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
10,Université Paris Diderot,3ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
10,Université Paris Diderot,Adjudicación Final,2,2,2,0,0,2,100.0,0.0,Baja
11,Uniwersytet Wrocławski,1ª Adjudicación,2,2,2,4,0,6,100.0,0.0,Alta
11,Uniwersytet Wrocławski,2ª Adjudicación,2,2,2,2,0,4,100.0,0.0,Media
11,Uniwersytet Wrocławski,3ª Adjudicación,2,2,2,0,1,2,100.0,50.0,Baja
11,Uniwersytet Wrocławski,Adjudicación Final,2,3,3,2,0,5,150.0,0.0,Alta
12,Humboldt-Universität zu Berlin,1ª Adjudicación,4,4,4,2,0,6,100.0,0.0,Media
12,Humboldt-Universität zu Berlin,2ª Adjudicación,4,4,2,0,0,2,50.0,0.0,Baja
